$ ./sendfile -r amber.clear.rice.edu:18004 -f data/data1M.txt
the total_file_length is 1288890
the datasize is 1400
the total count is 921
[SEND SUCCESS] Send the filepathf/filename successfully
[RECEVE ACK SUCCESS] Receive the ack number of filepath/filename successfully
-------- [BEGIN TRANSFERRING] --------
[SEND DATA] 184800 (1400) Seq(133)
[SEND DATA] 186200 (1400) Seq(134)
[SEND DATA] 187600 (1400) Seq(135)
[SEND DATA] 189000 (1400) Seq(136)
[SEND DATA] 190400 (1400) Seq(137)
[SEND DATA] 191800 (1400) Seq(138)
[SEND DATA] 193200 (1400) Seq(139)
[SEND DATA] 194600 (1400) Seq(140)
[SEND DATA] 196000 (1400) Seq(141)
[SEND DATA] 197400 (1400) Seq(142)
[SEND DATA] 198800 (1400) Seq(143)
[SEND DATA] 200200 (1400) Seq(144)
[SEND DATA] 201600 (1400) Seq(145)
[SEND DATA] 203000 (1400) Seq(146)
[SEND DATA] 204400 (1400) Seq(147)
[SEND DATA] 205800 (1400) Seq(148)
[SEND DATA] 207200 (1400) Seq(149)
[SEND DATA] 208600 (1400) Seq(150)
[SEND DATA] 210000 (1400) Seq(151)
[SEND DATA] 211400 (1400) Seq(152)
[SEND DATA] 212800 (1400) Seq(153)
[SEND DATA] 214200 (1400) Seq(154)
[SEND DATA] 215600 (1400) Seq(155)
[SEND DATA] 217000 (1400) Seq(156)
[SEND DATA] 218400 (1400) Seq(157)
[SEND DATA] 219800 (1400) Seq(158)
[SEND DATA] 221200 (1400) Seq(159)
[SEND DATA] 222600 (1400) Seq(160)
[SEND DATA] 224000 (1400) Seq(161)
[SEND DATA] 225400 (1400) Seq(162)
[SEND DATA] 226800 (1400) Seq(163)
[SEND DATA] 228200 (1400) Seq(164)
[SEND DATA] 229600 (1400) Seq(165)
[SEND DATA] 231000 (1400) Seq(166)
[SEND DATA] 232400 (1400) Seq(167)
[SEND DATA] 233800 (1400) Seq(168)
[SEND DATA] 235200 (1400) Seq(169)
[SEND DATA] 236600 (1400) Seq(170)
[SEND DATA] 238000 (1400) Seq(171)
[SEND DATA] 239400 (1400) Seq(172)
[SEND DATA] 240800 (1400) Seq(173)
[SEND DATA] 242200 (1400) Seq(174)
[SEND DATA] 243600 (1400) Seq(175)
[SEND DATA] 245000 (1400) Seq(176)
[SEND DATA] 246400 (1400) Seq(177)
[SEND DATA] 247800 (1400) Seq(178)
[SEND DATA] 249200 (1400) Seq(179)
[SEND DATA] 250600 (1400) Seq(180)
[SEND DATA] 252000 (1400) Seq(181)
[SEND DATA] 253400 (1400) Seq(182)
[SEND DATA] 254800 (1400) Seq(183)
[SEND DATA] 256200 (1400) Seq(184)
[SEND DATA] 257600 (1400) Seq(185)
[SEND DATA] 259000 (1400) Seq(186)
[SEND DATA] 260400 (1400) Seq(187)
[SEND DATA] 261800 (1400) Seq(188)
[SEND DATA] 263200 (1400) Seq(189)
[SEND DATA] 264600 (1400) Seq(190)
[SEND DATA] 266000 (1400) Seq(191)
[SEND DATA] 267400 (1400) Seq(192)
[SEND DATA] 268800 (1400) Seq(193)
[SEND DATA] 270200 (1400) Seq(194)
[SEND DATA] 271600 (1400) Seq(195)
[SEND DATA] 273000 (1400) Seq(196)
[SEND DATA] 274400 (1400) Seq(197)
[SEND DATA] 275800 (1400) Seq(198)
[SEND DATA] 277200 (1400) Seq(199)
[SEND DATA] 278600 (1400) Seq(200)
[SEND DATA] 280000 (1400) Seq(201)
[SEND DATA] 281400 (1400) Seq(202)
[SEND DATA] 282800 (1400) Seq(203)
[SEND DATA] 284200 (1400) Seq(204)
[SEND DATA] 285600 (1400) Seq(205)
[SEND DATA] 287000 (1400) Seq(206)
[SEND DATA] 288400 (1400) Seq(207)
[SEND DATA] 289800 (1400) Seq(208)
[SEND DATA] 291200 (1400) Seq(209)
[SEND DATA] 292600 (1400) Seq(210)
[SEND DATA] 294000 (1400) Seq(211)
[SEND DATA] 295400 (1400) Seq(212)
[SEND DATA] 296800 (1400) Seq(213)
[SEND DATA] 298200 (1400) Seq(214)
[SEND DATA] 299600 (1400) Seq(215)
[SEND DATA] 301000 (1400) Seq(216)
[SEND DATA] 302400 (1400) Seq(217)
[SEND DATA] 303800 (1400) Seq(218)
[SEND DATA] 305200 (1400) Seq(219)
[SEND DATA] 306600 (1400) Seq(220)
